,name,artists:name,id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,no more time,flor,2DrCG0wW0P8O0AUCKzuUC2,183296,0.508,0.922,11,-4.976,1,0.0608,0.000269,0.0549,0.34,0.627,161.04,3
6,Boardwalk,Vance Joy,2EhDRRL6Qrws71TOb1QDjX,190973,0.579,0.662,7,-6.5,0,0.143,0.19,0.0,0.138,0.313,175.831,4
12,My Own Medicine,The Summer Set,2vOmijA7QjNz9XRW0lUz1e,178283,0.621,0.839,10,-4.884,1,0.066,0.226,0.0,0.143,0.784,141.998,4
18,Harder To Breathe,Letdown.,2SZCMA6B76Cc9a9DaAJsRk,167196,0.536,0.81,0,-4.14,0,0.0764,0.165,0.0,0.58,0.549,78.958,4
24,Falling Outside,"Andy Kong, Tom Rhodes",1a5e3Imhqz2KhsogprEn3w,208760,0.589,0.207,0,-16.342,1,0.0286,0.724,0.0205,0.117,0.0945,120.928,4
30,Olivia,THE JACKS,0I1Aj3thWyhDdiEombhQ7j,248056,0.517,0.521,9,-9.319,1,0.0315,0.126,0.0,0.116,0.445,144.163,4
36,One By One,Birds of Bellwoods,0zPIWO1XoBWWRziLIGzgvm,185675,0.54,0.854,1,-5.152,1,0.0345,0.0135,0.0,0.333,0.799,87.896,4
42,Miles Are Wide,Ocie Elliott,7CGfeNaZoVLJRBKB15B1jK,234028,0.77,0.226,2,-9.136,1,0.0314,0.914,3.54e-05,0.0991,0.222,117.949,4
48,Gala,OWEL,3zrnHu3qyYH2xPewe1nC48,320000,0.388,0.485,9,-5.886,1,0.0284,0.00339,1.34e-06,0.299,0.177,170.015,3
4,Hit My Heart - Acoustic Version,BOY,6WE8mrq0DmzcO0zLdCQLZM,224506,0.759,0.347,0,-11.163,1,0.0474,0.857,0.0006,0.105,0.778,97.952,4
10,Seventeen,Haley Blais,2CQZalbSGicedttPGtY06n,208520,0.545,0.825,7,-5.468,1,0.0296,0.765,0.493,0.313,0.597,110.004,4
16,Umami,Go! Child,7zpldAK15UahZ1Rg4QvT8q,254845,0.592,0.469,7,-11.762,1,0.0341,0.66,0.0,0.126,0.336,114.988,4
22,She's A Big Boy,Mcbaise,47X95Rup7LOEaVIHWlkRUT,280225,0.688,0.307,0,-10.726,1,0.0852,0.623,0.357,0.11,0.513,149.543,4
28,Matching Tattoos,Point Blank Society,3FQa3LvZz6oibS2jagMJBG,208636,0.867,0.322,2,-9.558,1,0.0549,0.226,6.74e-05,0.0975,0.591,132.015,4
34,Little Numbers - Acoustic Version,BOY,5UlimMRZhgfIGu57ZwlxkC,221213,0.643,0.464,11,-9.248,1,0.0265,0.684,0.0,0.0973,0.819,95.959,4
40,Little Numbers,BOY,32UKzfkSMoFSHfcd20l4PW,219840,0.537,0.781,1,-4.848,1,0.0387,0.139,0.0,0.0968,0.712,191.807,4
46,Blonde,Maisie Peters,6Tmj9k9HeZhP5CdLHcj81h,181667,0.406,0.818,9,-3.977,1,0.119,0.0885,0.0,0.308,0.632,179.846,4
2,I Wish I Never Met You,Babygirl,5Ga9HA1RoegXoq4TGolIi9,211744,0.82,0.494,1,-9.151,1,0.0309,0.281,0.0358,0.154,0.909,109.956,4
8,At a Glance,Message To Bears,751TJAeguNwru2gpJ51ToF,218666,0.579,0.412,5,-10.129,1,0.0304,0.36,0.587,0.0997,0.139,89.953,4
14,Headphones,Britt Nicole,4lA7OfHo3sP0Mya3uD0Xsh,220746,0.606,0.833,8,-3.148,1,0.0611,0.0149,0.0,0.111,0.635,139.981,4
20,Fourth of July,Sufjan Stevens,4K3RZJ8sWPbv0IedcnEfw6,279316,0.441,0.104,6,-22.399,0,0.0459,0.973,0.354,0.119,0.156,120.266,4
26,Mountains,Message To Bears,22v9ZVkWWAYjderL7ZWuuH,234000,0.569,0.572,6,-11.363,1,0.0265,0.64,0.56,0.0921,0.658,110.031,4
32,Rose Colored Glasses,The Collection,4MvWxdqzKegz0jr8DhzJNd,205774,0.514,0.729,8,-7.338,1,0.058,0.332,0.0,0.212,0.618,152.071,4
38,Hey Michael,"Wallice, marinelli",2e6yL61IB93pCIzMNx4xRF,179852,0.759,0.634,4,-6.387,1,0.047,0.039,8.93e-05,0.644,0.923,120.023,4
44,My Own Person,Ezra Williams,7nMlhFSw9VphHNEgUec9uy,264873,0.599,0.546,7,-6.984,1,0.0328,0.789,2.8e-05,0.116,0.263,89.98,4
0,The Only Boy Racer Left On The Island,The Howl & The Hum,7bjb4GQvUUncFHzdmWsGQI,226779,0.519,0.616,11,-7.314,1,0.038,0.00635,1.01e-05,0.337,0.0569,116.915,3
6,Nothing New,Fly By Midnight,1s2iyEiQWFzWKr6YXrbNdE,149268,0.528,0.829,7,-6.594,0,0.0682,0.0571,5.9e-06,0.131,0.485,164.088,4
12,Man on the Moon,Zella Day,08lkp84AN53aDQibAbA4cv,242416,0.429,0.867,8,-4.869,1,0.0385,0.0271,2.86e-06,0.106,0.57,74.987,4
18,This Is Home,Cavetown,7s8VgA8OjvwBUuigKzEGBx,226073,0.811,0.266,7,-12.478,1,0.0406,0.56,1.05e-06,0.0962,0.211,130.044,4
24,Projector,Set It Off,0fUCMjWiCq5vyoLNyf5IQf,192244,0.672,0.897,9,-4.459,0,0.0369,0.00978,0.0,0.135,0.519,98.011,4
30,Spinning (The Saucer),The Altogether,721Q3BGW2jPkSgXa8u8sK3,158576,0.642,0.414,3,-9.801,1,0.026,0.76,0.0317,0.0906,0.299,96.042,4
36,Motion (with Yot Club),"Smallpools, Yot Club",1X0EgBQrXoMlOyWNjBWs2U,179695,0.706,0.754,0,-6.808,1,0.0301,0.147,0.00102,0.0979,0.858,117.984,4
42,Hard to Kill,Bleached,2W830GhisPFzMAZOlKNBcY,206160,0.725,0.695,0,-6.934,1,0.0288,0.000697,0.00161,0.233,0.86,127.523,4
48,Everybody Seems to Love You,Addison Grace,7glM6QKiCgb0w88hNf0USx,202193,0.391,0.585,3,-6.698,0,0.0456,0.0237,0.0,0.145,0.325,94.16,4
4,Figure 8,Handsome Ghost,55CcDF1xukId1ieoefDI7X,236728,0.608,0.495,6,-10.237,0,0.0258,0.337,0.000365,0.116,0.173,99.986,4
10,midnight love,girl in red,32XaqPVTVkkuOiOPQZ3SpA,193928,0.284,0.538,2,-9.894,0,0.0886,0.717,0.105,0.111,0.259,179.708,3
16,could you love me while i hate myself,Zeph,7uo2L5FAja3pWIBa3HJVeC,60333,0.68,0.406,9,-11.313,1,0.0414,0.782,0.00019,0.11,0.551,119.901,4
22,"You're On Your Own, Kid",Taylor Swift,4D7BCuvgdJlYvlX5WlN54t,194206,0.696,0.396,2,-10.289,1,0.0656,0.401,5.2e-06,0.125,0.38,120.041,4
28,What Goes Around,Sjowgren,1EmUW3D8vAfp2miQJTMupc,179933,0.63,0.433,10,-5.874,1,0.0291,0.559,0.00702,0.0873,0.56,104.042,4
34,The Lord God Bird,Coach Kit,6uvHuXQqiixn2fPKa15fHT,205018,0.61,0.348,10,-10.874,0,0.0273,0.825,0.0143,0.185,0.51,123.605,4
40,Flirting with Her,Sir Babygirl,2kDTgtrBqoEWNrdYte9hSo,230160,0.373,0.706,2,-5.747,1,0.0339,0.00101,0.145,0.228,0.217,154.752,4
46,"Get Me Away from Here, I'm Dying",Belle and Sebastian,0xBH1GysY7fy6RJjX8hW5R,205493,0.543,0.615,6,-9.588,1,0.0448,0.391,0.0,0.74,0.697,79.656,4
2,Radio,Dayglow,10SOOaAA0JVdnroFkcZT7w,194800,0.586,0.903,6,-3.275,1,0.0648,0.0278,6.49e-06,0.0597,0.823,175.066,4
8,Everybody's Cool,Two Door Cinema Club,5HUxswbr7V4fzwG1LGCf7U,262356,0.695,0.713,6,-4.366,0,0.0459,0.0518,0.0,0.11,0.558,106.018,4
14,Sea Of Love,"Langhorne Slim, Jill Andrews",3ASn2iE7F4HvA8XyRbJ4tS,203190,0.538,0.272,11,-10.783,1,0.0381,0.904,0.000613,0.108,0.316,118.382,4
20,Silk Chiffon,"MUNA, Phoebe Bridgers",5ECxiK4Vigo1yRRmAoZc1f,206586,0.622,0.739,8,-6.219,1,0.0441,0.0156,0.0,0.111,0.435,97.017,4
26,Loveless,Lo Moon,1lN6FVRdpvwYVHi6LqMA1U,423280,0.518,0.436,10,-8.539,1,0.0298,0.0198,0.125,0.0575,0.145,79.934,4
32,Second Nature,Dayglow,0Kqo7V39HrgjMaDwL5uvq7,347146,0.744,0.896,7,-3.189,1,0.0399,0.0825,0.00165,0.0708,0.74,115.035,4
38,Frankenstein,Claire Rosinkranz,1xSmjB0t19q4CSJ0X0ymGB,202248,0.826,0.745,2,-6.091,1,0.141,0.13,1.32e-05,0.178,0.883,119.92,4
44,Just the Two of Us,Sunmoon,1hcJrzSt75RwryotCDsPV6,137909,0.598,0.558,1,-9.526,1,0.0492,0.717,0.00372,0.477,0.388,100.117,4
0,I Don't Wanna Talk About Love,New Dialogue,6vSTEfdBUzUUCPYJ4qWp22,182500,0.631,0.689,11,-5.597,0,0.0349,0.147,2.72e-05,0.12,0.526,95.996,4
6,Cameras & Coastlines,Smallpools,4krx53ym2jljK4jlR4VXXq,158542,0.363,0.898,7,-6.345,1,0.0541,0.00699,0.00715,0.451,0.637,180.143,4
12,sucks to see you doing better,Valley,2LFprH1a4nNvmYha55xhj6,225136,0.736,0.593,1,-8.405,1,0.0378,0.0151,1.2e-06,0.0562,0.612,121.996,4
18,Reruns,SUGR?,1EHqPHC8yrLStpI2BYLo9t,197015,0.653,0.661,0,-7.215,1,0.0345,0.155,0.0159,0.0982,0.536,100.041,4
24,Heavy Sleeper,Mandala,5ivXovSk2azBtRKrhTsggw,348250,0.249,0.781,9,-4.262,1,0.0564,0.285,0.0,0.0985,0.363,164.923,4
30,Don’t get the deal,beabadoobee,60aYO1uRqTkGltYtaMFPxy,220693,0.389,0.839,2,-5.806,1,0.0442,0.00536,2.81e-05,0.0483,0.636,132.537,4
36,Already Dead,"Daisy Grenade, The Ready Set",2SvNm1U3VWBS86RioI8iU5,159677,0.552,0.65,7,-4.805,1,0.043,0.00341,0.0,0.0549,0.923,155.017,4
42,Daisies,"Roe Kapara, Indy June",1nAV0QT77E27r4j6SrRD3J,198438,0.614,0.596,0,-7.365,1,0.0305,0.487,0.0,0.0955,0.177,97.995,4
48,Undying Greed,Neck Break Launch,6sl4W2MkAAhWqKpp6nTY1q,138193,0.371,0.923,4,-6.53,0,0.167,0.495,0.164,0.359,0.51,99.979,4
4,the perfect pair,beabadoobee,41P6Tnd8KIHqON0QIydx6a,177533,0.634,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,4
10,Last Man On Earth,Anna Bates,3gTq1WoOHWfyuCkIaCgjYS,188813,0.339,0.482,0,-8.047,0,0.0453,0.535,0.0,0.173,0.276,179.232,3
16,Come Back to Life,The Zolas,58jFdVUmd39QCbVEXQk8If,230053,0.535,0.764,11,-5.628,0,0.0374,0.0293,8.87e-05,0.134,0.483,95.996,4
22,Backseat,Lafrantz,2V44oohInzH6JQrWZrlQMP,159558,0.771,0.44,2,-9.598,0,0.0394,0.472,1.95e-05,0.106,0.832,144.931,4
28,Kilby Girl,The Backseat Lovers,1170VohRSx6GwE6QDCHPPH,282205,0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4
34,Mirror Girl,Jordy Searcy,02MfV88yWVP3VYiC5dehEA,178000,0.606,0.619,11,-6.866,1,0.0751,0.337,0.0,0.299,0.552,97.188,4
40,Dance Macabre,Ghost,4IpifFMWFYS5sWFX9mcTbV,219720,0.619,0.696,7,-6.263,0,0.0315,1.93e-05,0.00555,0.38,0.727,125.984,4
46,"So Alright, Cool, Whatever",The Happy Fits,5NxC33tgrysAEqc62yukdT,191360,0.685,0.642,0,-5.417,1,0.0372,0.0997,0.0,0.0343,0.763,130.02,4
2,YKWIM?,Yot Club,2vWBUC9djv6BtiGlmKiQaH,212750,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,3
8,Dad Dancing,Goodnight Goodbye,1ucjmB6RNtJGQ5nURZIWED,238560,0.704,0.686,2,-10.03,1,0.0406,0.248,0.364,0.125,0.777,122.016,4
14,landline,Arlie,7J2SaxOOWpKsXgCjlQQ7o0,183933,0.757,0.737,1,-4.022,1,0.0441,0.0666,6.87e-05,0.0941,0.863,110.01,4
20,Talk to Me,Cavetown,3znD2JTezT8ZLkp2pmft2l,277327,0.626,0.323,4,-9.607,1,0.0339,0.667,0.0,0.0605,0.234,130.082,4
26,Weight,Run River North,7fVlkdoJFnPkb3keLng0Gv,242005,0.662,0.71,2,-6.904,1,0.039,0.00844,0.0,0.233,0.577,132.973,4
32,Better In College,"Robert DeLong, Ashe",5C9mHJa5Xsc7VkK1F94I8Z,208786,0.507,0.668,0,-5.461,1,0.142,0.246,0.0,0.19,0.68,177.702,4
38,Japanese Posters,Rebounder,19mIMQ8rNN4jmfR1UXVNBQ,156000,0.673,0.631,6,-6.634,0,0.0281,0.00732,7.34e-06,0.253,0.796,95.009,4
44,nice pup,chloe moriondo,44ZzrQnqhQt3bAOOJ9iQbE,163082,0.793,0.46,4,-6.208,1,0.061,0.153,2.13e-05,0.104,0.667,129.987,4
0,I'M ALREADY DEAD,"Animal Sun, DREAMERS",1p2ukcpuRH0MtwPF6bVRKE,187500,0.607,0.778,8,-7.516,1,0.0298,0.0601,5.97e-05,0.0657,0.537,90.002,4
6,Space Cadet,The Technicolors,6DwRQI2K03MTNULcasnhUh,288835,0.571,0.655,11,-7.576,1,0.0307,0.127,1.42e-05,0.165,0.633,85.986,4
12,Semi Kinda Right,One Flew West,37iTF9KJmvX5BsWLZKtO1X,178391,0.589,0.855,1,-4.454,0,0.029,0.00103,0.0,0.121,0.621,102.998,4
18,Words Ain't Enough,"Tessa Violet, chloe moriondo",7lMzNAybmy1UNPsgflbVcE,124415,0.713,0.325,0,-5.766,0,0.0312,0.928,0.0106,0.107,0.239,110.541,3
24,Ghost Adventure Spirit Orb,chloe moriondo,3usozzhsqnw7XnQt9WB3hX,177009,0.509,0.206,4,-14.604,1,0.0431,0.633,0.0,0.0927,0.3,143.462,4
30,Hold On For Dear Life,"Adam Melchor, Briston Maroney",2qQvRQWSdIzyFK0Uvxh3V1,227117,0.494,0.791,7,-4.067,1,0.0373,0.0182,0.0,0.265,0.367,123.997,4
36,Magnificent,Oh Wonder,4djeNHa2hRfxB5Z4HD5Stu,268528,0.622,0.392,9,-12.572,1,0.0405,0.336,0.00962,0.073,0.413,79.977,4
42,Can You Feel The Sun,MISSIO,2DZqu0ju4GPs4nJXm1XrQ1,286342,0.494,0.645,2,-6.552,0,0.0334,0.0368,1.23e-06,0.135,0.103,127.923,4
48,Darkness,Bronze Radio Return,77WgMy0kPqu8tpEGJcM3xe,204915,0.659,0.779,7,-5.545,1,0.0367,0.053,9.82e-05,0.0736,0.514,107.97,4
4,Upper West Side,King Princess,7vfaRUaFBDwENwa3tzJY64,211413,0.635,0.496,9,-8.858,1,0.0338,0.277,0.00634,0.081,0.733,141.863,4
10,Half Alive,Amber Run,7rBgx1F0dcOai3Rd21CzcZ,215053,0.358,0.715,11,-7.058,0,0.06,0.0736,0.21,0.0724,0.324,113.408,5
16,Sticky,The Maine,6qXBZGMoNHTVIebQDECoY9,178900,0.669,0.819,0,-4.716,1,0.0363,0.11,0.0,0.212,0.762,105.055,4
22,I Just Wanna Run,The Downtown Fiction,3WLLJzllBEgPiSA0qd3BN3,199959,0.669,0.667,4,-3.0,1,0.0511,0.00769,0.0,0.0983,0.69,128.103,4
28,Peachy,Bad Suns,5VN19XwyKuWp3lfQFFB4ov,202955,0.662,0.835,6,-4.424,1,0.0294,0.00137,1.09e-06,0.114,0.714,103.996,4
34,Simple Things,No Love For The Middle Child,5XmLP99v54O4zV9vrlBKVS,171221,0.523,0.696,6,-5.313,0,0.0529,0.0476,0.0,0.205,0.366,103.886,4
40,Checkmate,Conan Gray,3SnpCALgmzVy7k07aAXbuA,148280,0.512,0.716,1,-4.13,1,0.304,0.0669,9.04e-06,0.147,0.703,151.484,4
46,Lifeline,"Tómas Welding, ELVA",3bveGlyB1hTt9g2qqkR0jl,200347,0.753,0.425,4,-7.924,0,0.0321,0.837,3.03e-06,0.0996,0.481,114.962,4
2,Purple,Hollow Coves,7bwqzQSHl3GE0qA4owWOzG,265962,0.591,0.676,7,-7.47,1,0.0256,0.13,0.0796,0.09,0.369,107.999,4
8,Boys,Hippo Campus,7yfLvK7r1w5bql3G0Uha5w,253848,0.515,0.771,2,-5.081,1,0.0394,0.0339,1.81e-05,0.0945,0.552,104.995,4
14,Older,Alec Benjamin,4qeHV9T5N3S7KAKryZQp8s,164396,0.539,0.489,2,-8.456,1,0.0635,0.59,0.0,0.197,0.515,84.211,4
20,seasonal depression,mxmtoon,16vTdg4LWbLbgZ2uTrQcB8,156120,0.582,0.636,10,-5.408,1,0.081,0.704,0.0,0.152,0.381,155.825,4
26,Were You Lying? - Demo,"Jansen, The Wldlfe",5gP7QR2jv7DE0grdzoFGCB,265981,0.549,0.438,9,-7.958,1,0.0294,0.5,4.86e-05,0.0929,0.256,117.862,4
32,Sunshine,OneRepublic,5r43qanLhUCdBj8HN3fa6B,163854,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,4
38,There Will Be Another,Bronze Radio Return,1PgXr1hlvoOa7ugxQsFGta,231784,0.656,0.299,7,-10.658,1,0.0288,0.795,0.00903,0.156,0.338,80.053,4
44,Summerland,half•alive,0dN3cttUifpkm1Oja79zJr,229659,0.713,0.804,2,-4.971,1,0.15,0.258,0.0,0.346,0.703,103.881,4
0,Train,Brick + Mortar,5fAeD0Y8eG2EWN2e5ZRpxa,185029,0.596,0.729,7,-5.82,1,0.0698,0.0433,0.151,0.135,0.56,149.999,4
6,Outsiders,"UNSECRET, Bryce Fox",2Pq6p5xmckZxvV0gl3lEaG,165253,0.639,0.789,2,-6.293,1,0.0469,0.139,0.000328,0.091,0.648,120.078,4
12,The Dragon,Will Joseph Cook,6Hklbd3IHCx7th0EtVoQ2S,204591,0.819,0.606,9,-5.739,1,0.0685,0.0569,0.000539,0.029,0.958,146.034,4
18,Sofia,Clairo,7B3z0ySL9Rr0XvZEAjWZzM,188386,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,4
24,One More Second - Future Islands Remix,"Matt Berninger, Future Islands",5COrym7h8O3YPFIht8nsDi,249555,0.523,0.591,4,-10.637,1,0.0462,0.0642,0.908,0.111,0.347,166.03,4
30,After All,"Elton John, Charlie Puth",38UDoZyudPWXLzXRAb71oP,208714,0.501,0.556,5,-5.628,1,0.0266,0.361,0.000133,0.115,0.165,82.017,4
36,Last Week On A Friday,Young Rising Sons,0UpdNPlHt0URGZzaU5aTxx,200886,0.553,0.905,10,-3.912,1,0.0577,0.000852,0.183,0.299,0.689,144.993,4
42,Mood Swings,New Dialogue,4uM9jXse2J95M11yAiSJLB,183157,0.476,0.704,8,-5.755,0,0.123,0.326,0.0,0.266,0.454,110.069,3
48,I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,6IbCvfmmICEEAyDwQ9zcbt,195190,0.703,0.624,7,-6.228,1,0.0364,0.0156,5.53e-05,0.299,0.808,131.966,4
4,Moon in the Morning,Adam Melchor,1Lfr9YBRpeSwCS14kBoTAg,194266,0.458,0.464,5,-9.126,0,0.031,0.799,3.42e-05,0.109,0.256,122.821,4
10,The Golden Age,Woodkid,0G2tHYsAHueVaPhTTBbVna,224720,0.545,0.752,2,-6.745,1,0.0362,0.723,0.136,0.138,0.232,132.033,4
16,Roses,The Band CAMINO,28Fqo5nrtgYj7czjeyHg04,181673,0.703,0.768,1,-5.069,1,0.0339,0.0339,1.3e-06,0.0328,0.786,95.983,4
